Diseases,DiseasesGroups,Number of Cases,Social History,Family History,Adhd,Alcohol Dependency,Analgesic,Antacid (H2),Antidiabetic ,Anticoagulant,Antibiotic ,Antidepressant,Antiepileptic,Antifungal,Antihistamine,Antihypertensive,High Blood Pressure,Cholesterol,Depression,High Blood Pressure,Hormone replacement,"Ulcer, Heartburn",Discharge Condition
capillariasi,Infectious Diseases,0,Cluster 3,Cluster 1,1.8,0,0,4,1,0,60,141,0,0,0,60,32,1,1,2,0,0,Stable
bcg,Infectious Diseases,2,Cluster 1,Cluster 7,0,0,0,3,1,16,54,254,10,5,0,54,24,1,1,0,0,0,Stable
cjd,Infectious Diseases,0,Cluster 1,Cluster 1,0,0,0,4,1,20,46,302,11,5,1,46,26,1,1,0,0,0,Stable
chikv,Infectious Diseases,21,Cluster 1,Cluster6,0,0,0,2,1,22,50,300,13,7,1,50,22,1,1,0,0,0,Stable
capiti,Infectious Diseases,0,Cluster 1,Cluster 1,0,0,0,2,1,25,48,318,16,7,1,48,22,1,0,0,0,0,Stable
mucormycosi,Infectious Diseases,0,Cluster 2,Cluster 2,0,0,0,1,1,30,42,368,19,9,1,42,23,1,1,0,0,0,Transfer
hepat,Infectious Diseases,0,Cluster 1,Cluster 1,0,0,0,4,4,18,51,271,11,5,1,51,25,1,1,0,0,0,Stable
vancomycin-resistant enterococci,Infectious Diseases,0,Cluster 1,Cluster 1,0,0,0,4,3,23,63,253,13,6,1,63,9,0,0,0,0,0,Stable
genital candidiasi,Infectious Diseases,0,Cluster 1,Cluster 2,0,0,0,1,0,20,51,265,13,6,0,51,20,1,2,0,0,0,Stable
varicella-zost,Infectious Diseases,0,Cluster 3,Cluster 3,0,0,0,4,1,29,21,431,17,8,1,21,38,1,2,0,0,0,Stable
enterococci,Infectious Diseases,0,Cluster 1,Cluster 4,0,0,0,3,1,26,29,392,16,8,1,29,36,1,2,0,0,0,Stable
gonorrhoea,Infectious Diseases,0,Cluster 1,Cluster 5,0,0,0,4,1,30,22,451,19,9,1,22,42,1,0,0,0,0,Transfer
valley fev,Infectious Diseases,0,Cluster 4,Cluster 6,0,0,0,3,1,27,25,415,17,9,1,25,38,1,2,0,0,0,Stable
nocardia asteroid,Infectious Diseases,0,Cluster 1,Cluster 7,0,0,0,4,1,7,59,180,4,2,0,59,25,1,1,0,0,0,Stable
headlic,Infectious Diseases,0,Cluster 1,Cluster 8,0,0,0,2,1,31,39,375,20,9,1,39,22,1,1,0,0,0,Stable
strep throat,Infectious Diseases,305,Cluster 1,Cluster 9,0,0,0,2,1,31,39,375,20,9,1,39,22,1,1,0,0,0,Stable
group b strep,Infectious Diseases,0,Cluster 5,Cluster 1,0,0,0,13,10,1,57,148,1,0,0,57,23,1,2,0,0,0,Stable
streptococc,Infectious Diseases,0,Cluster 1,Cluster 2,0,0,0,2,0,31,43,376,20,9,1,43,22,1,0,0,0,0,Transfer
herpes simplex,Infectious Diseases,0,Cluster 2,Cluster 4,0.1,0,0,2,1,31,39,375,20,9,1,39,22,1,1,0,0,0,Stable
sexually transmitted diseas,Infectious Diseases,69,Cluster 1,Cluster 1,0,0,0,4,1,5,59,165,3,1,0,59,26,1,1,0,0,0,Stable
visa vrsa,Infectious Diseases,0,Cluster 1,Cluster 2,0,0,0,2,1,25,42,334,16,7,1,42,25,1,1,0,0,0,Stable
mycobacterium tuberculosi,Infectious Diseases,0,Cluster 1,Cluster 1,0,0,0,2,0,25,42,334,16,7,1,42,25,1,1,0,0,0,Stable
chlamydia pneumonia,Infectious Diseases,38,Cluster 1,Cluster 2,0,0,0,1,1,28,45,352,17,9,1,45,24,1,1,0,0,0,Transfer
entamoeba,Infectious Diseases,150,Cluster 2,Cluster 3,0,0,0,2,1,27,41,351,17,7,1,41,26,1,1,0,0,0,Transfer
ear infect,Infectious Diseases,5,Cluster 1,Cluster 1,0,0,0,4,1,18,51,274,11,5,1,51,25,1,1,0,0,0,Stable
enterobacteral,Infectious Diseases,0,Cluster 1,Cluster 3,0,0,0,5,0,8,74,138,5,2,0,74,11,0,0,0,0,0,Transfer
ohf,Infectious Diseases,0,Cluster 1,Cluster 1,0,0,0,3,0,13,72,174,8,4,0,72,11,0,0,0,0,0,Stable
lujohemorrhag,Infectious Diseases,0,Cluster 2,Cluster 7,0,0,0,4,1,27,31,387,17,8,1,31,32,1,1,0,0,0,Stable
diphyllobothrium,Infectious Diseases,0,Cluster 3,Cluster 1,0,0,0,2,0,31,39,369,19,8,1,39,22,1,2,0,0,0,Stable
colorado tick fev,Infectious Diseases,30,Cluster 1,Cluster6,0,0,0,5,1,28,37,380,18,7,1,37,27,1,0,0,0,0,Stable
clostridiumtetanu,Infectious Diseases,0,Cluster 1,Cluster 1,0,0,0,3,1,5,60,173,3,1,0,60,28,1,0,0,0,0,Stable
heterophy,Infectious Diseases,321,Cluster 1,Cluster 2,0,0,0,3,1,27,38,374,18,7,1,38,28,1,0,0,0,0,Transfer
streptobacillu,Infectious Diseases,0,Cluster 1,Cluster 1,0,0,0,2,0,26,43,340,17,7,1,43,24,1,1,0,0,0,Stable
shiga toxin-producing e. coli,Infectious Diseases,20,Cluster 2,Cluster 1,0,0,0,3,2,24,49,310,14,6,1,49,20,1,1,0,0,0,Stable
mump,Infectious Diseases,0,Cluster 1,Cluster 2,1.1,0,0,35,33,14,50,251,3,4,6,50,1,0,0,1,0,0,Stable
viral mening,Infectious Diseases,0,Cluster 1,Cluster 3,1.2,0,0,75,58,21,2,498,19,1,0,2,1,0,0,1,0,0,Stable
heterophyiasi,Infectious Diseases,23,Cluster 1,Cluster 4,0,0,0,9,9,4,86,71,1,2,0,86,1,0,0,0,0,0,Stable
monkey b,Infectious Diseases,0,Cluster 3,Cluster 5,0,0,0,11,11,10,77,136,2,8,0,77,1,0,0,0,0,0,Transfer
hantaviru,Infectious Diseases,0,Cluster 1,Cluster 6,0,0,0,11,0,10,77,136,9,0,0,77,1,0,0,0,0,0,Stable
bartonella bacilliformi,Infectious Diseases,1,Cluster 1,Cluster 7,0,0,1,55,55,35,2,545,33,1,0,2,5,0,0,0,0,1,Stable
"relapsing fever, louse-born",Infectious Diseases,13,Cluster 4,Cluster 8,0,0,1,73,73,16,6,431,4,12,0,6,2,0,0,0,0,1,Stable
trichinellosi,Infectious Diseases,339,Cluster 1,Cluster 9,0,0,0,4,0,12,81,130,7,3,0,81,3,0,0,0,0,0,Stable
cat flea,Infectious Diseases,0,Cluster 1,Cluster 1,0,0,0,3,0,37,58,345,23,11,1,58,2,0,0,0,0,0,Stable
spotted fever group rickettsia,Infectious Diseases,3,Cluster 1,Cluster 2,0,0,0,4,0,19,74,195,12,6,1,74,3,0,0,0,0,0,Transfer
ehrlichiosi,Infectious Diseases,0,Cluster 5,Cluster 4,0,0,0,3,0,31,64,292,19,9,1,64,2,0,0,0,0,0,Stable
rbf,Infectious Diseases,0,Cluster 1,Cluster 1,0,0,0,9,5,1,86,59,1,0,0,86,3,0,0,0,0,0,Stable
pseudomona,Infectious Diseases,0,Cluster 2,Cluster 2,0,0,0,3,4,20,74,193,12,5,1,74,2,0,0,0,0,0,Death
avian,Infectious Diseases,23,Cluster 1,Cluster 1,0,0,0,4,0,12,80,135,7,3,0,80,3,0,0,0,0,0,Death
"amebae, nonpathogen",Infectious Diseases,0,Cluster 1,Cluster 2,0,0,0,12,8,22,61,257,14,6,1,61,3,0,0,0,0,0,Death
mycobacterium abscessu,Infectious Diseases,108,Cluster 1,Cluster 3,0,0,0,53,53,40,1,577,37,1,0,1,5,0,0,0,0,0,Transfer
africantrypanosomiasi,Infectious Diseases,5,Cluster 1,Cluster 1,0,0,0,17,17,13,66,194,11,1,0,66,4,0,0,0,0,0,Stable
"keratitis, acanthamoeba",Infectious Diseases,362,Cluster 2,Cluster 3,0,0,0,16,16,22,60,264,19,2,0,60,1,0,0,0,0,0,Stable
angiostrongylu,Infectious Diseases,0,Cluster 1,Cluster 1,0,0,0,23,23,25,50,318,22,2,1,50,1,0,0,0,0,0,Stable
crkp,Infectious Diseases,0,Cluster 1,Cluster 7,0,0,0,55,50,7,29,315,5,2,0,29,7,0,0,0,0,0,Stable
pneumocystis carinii pneumonia,Infectious Diseases,0,Cluster 1,Cluster 1,0,0,0,24,2,35,3,555,10,14,8,3,36,0,1,0,0,0,Stable
septicemia,Infectious Diseases,0,Cluster 2,Cluster6,0,0,0,2,2,0,87,48,0,0,0,87,10,0,0,0,0,0,Transfer
louse-born,Infectious Diseases,0,Cluster 3,Cluster 1,0,0,1,22,22,13,4,444,4,5,2,4,56,0,1,0,0,1,Stable
omsk hemorrhagic fev,Infectious Diseases,0,Cluster 1,Cluster 2,0,0,0,1,1,14,71,185,4,7,1,71,13,0,0,0,0,0,Stable
rickettsi,Infectious Diseases,0,Cluster 1,Cluster 1,0,0,0,1,1,13,70,185,4,6,2,70,14,0,0,0,0,0,Stable
tse,Infectious Diseases,35,Cluster 1,Cluster 1,0,0,0,0,0,11,74,158,4,4,1,74,13,0,0,0,0,0,Stable
q fever,Infectious Diseases,0,Cluster 1,Cluster 2,0,0,0,1,0,12,73,171,4,5,2,73,14,0,0,0,0,0,Stable
loiasi,Infectious Diseases,0,Cluster 2,Cluster 3,0,0,1,8,5,0,6,382,0,0,0,6,81,0,1,0,0,1,Transfer
moniliformi,Infectious Diseases,0,Cluster 1,Cluster 4,0,0,1,4,4,0,15,351,0,0,0,15,77,0,1,0,0,1,Stable
aid,Infectious Diseases,0,Cluster 1,Cluster 5,0,0,1,4,4,0,9,376,0,0,0,9,82,0,1,0,0,1,Stable
enterobiu,Infectious Diseases,0,Cluster 1,Cluster 6,0,0,0,1,1,0,88,52,0,0,0,88,11,0,0,0,0,0,Stable
exserohilum,Infectious Diseases,0,Cluster 3,Cluster 7,0,0,0,1,0,0,89,47,0,0,0,89,10,0,0,0,0,0,Stable
capillaria,Infectious Diseases,0,Cluster 1,Cluster 8,0,0,0,1,0,15,69,196,4,6,3,69,14,0,0,0,0,0,Stable
oropharyngeal candidiasi,Infectious Diseases,0,Cluster 1,Cluster 9,0,0,0,1,1,11,75,155,3,4,1,75,13,0,0,0,0,0,Transfer
marin,Infectious Diseases,0,Cluster 4,Cluster 1,0,0,0,1,0,12,76,154,3,5,3,76,11,0,0,0,0,0,Stable
rotaviru,Infectious Diseases,0,Cluster 1,Cluster 2,0,0,0,1,0,9,76,138,3,4,2,76,13,0,0,0,0,0,Stable
balamuthia,Infectious Diseases,901,Cluster 1,Cluster 4,0,0,0,2,1,11,76,149,3,4,2,76,10,0,0,0,0,0,Stable
whooping cough,Infectious Diseases,20,Cluster 1,Cluster 1,0,0,0,5,3,41,3,594,13,15,6,3,47,0,1,0,0,0,Stable
phthiriasi,Infectious Diseases,3,Cluster 5,Cluster 2,0,0,1,2,0,44,2,615,13,18,6,2,48,0,1,0,0,1,Stable
salmonella,Infectious Diseases,41,Cluster 1,Cluster 1,0,0,0,1,0,10,76,143,3,4,2,76,13,0,0,0,0,0,Transfer
cryptosporidium,Infectious Diseases,0,Cluster 2,Cluster 2,0,0,0,1,0,10,76,148,3,4,1,76,12,0,0,0,0,0,Stable
fungal ey,Infectious Diseases,5338,Cluster 1,Cluster 3,0,0,0,4,4,56,3,666,17,21,8,3,34,0,0,0,0,0,Stable
pelvic inflammatori,Infectious Diseases,0,Cluster 1,Cluster 1,0,0,0,4,1,27,52,322,10,12,4,52,16,0,0,0,0,0,Stable
schistosomiasi,Infectious Diseases,0,Cluster 1,Cluster 3,0,0,0,1,1,26,56,303,8,10,4,56,16,0,0,0,0,0,Stable
rickettsia rickettsii,Infectious Diseases,43,Cluster 1,Cluster 1,0,0,0,2,0,23,51,274,7,9,3,51,14,0,4,0,0,0,Stable
mrsa,Infectious Diseases,0,Cluster 2,Cluster 7,0,0,0,11,0,23,51,307,7,9,3,51,14,0,0,0,0,0,Death
clostridium,Infectious Diseases,0,Cluster 1,Cluster 1,0,0,0,8,8,4,83,88,3,1,0,83,5,0,0,0,0,0,Stable
arenaviruss,Infectious Diseases,138,Cluster 1,Cluster6,0,0,0,8,8,6,73,135,1,2,2,73,13,0,0,0,0,0,Stable
vulvovaginal candidiasi,Infectious Diseases,0,Cluster 1,Cluster 1,0,0,0,20,20,5,70,141,1,1,3,70,5,0,0,0,0,0,Stable
tuberculosi,Infectious Diseases,0,Cluster 2,Cluster 2,0,0,0,1,1,32,38,390,6,14,11,38,25,1,1,0,0,0,Stable
bartonella quintana,Infectious Diseases,0,Cluster 3,Cluster 1,0,0,0,15,7,1,78,91,1,0,0,78,5,0,0,0,0,0,Stable
giardia,Infectious Diseases,0,Cluster 1,Cluster 1,0.1,0,0,7,6,12,76,152,8,0,0,76,5,0,0,0,0,0,Transfer
foot diseas,Infectious Diseases,0,Cluster 1,Cluster 2,0.2,0,0,22,20,1,73,108,1,0,0,73,3,0,0,0,0,0,Stable
avium,Infectious Diseases,0,Cluster 1,Cluster 3,0,0,0,10,8,0,86,55,0,0,0,86,3,0,0,0,0,0,Stable
tinea,Infectious Diseases,0,Cluster 1,Cluster 4,0.2,0,0,18,17,1,77,96,1,0,0,77,4,0,0,0,0,0,Stable
coxiella,Infectious Diseases,0,Cluster 2,Cluster 5,0.3,0,0,20,17,1,75,102,1,0,0,75,4,0,0,0,0,0,Stable
pneumococc,Infectious Diseases,0,Cluster 1,Cluster 6,0.2,0,0,16,8,10,52,215,6,0,0,52,16,0,2,0,0,0,Stable
hookworm,Infectious Diseases,29,Cluster 1,Cluster 7,0.3,0,0,9,7,21,52,276,13,0,0,52,12,0,2,0,0,0,Transfer
southern tick-associated rash il,Infectious Diseases,0,Cluster 1,Cluster 8,0.2,0,0,12,7,1,58,148,1,0,0,58,23,1,1,0,0,0,Stable
dermatophyt,Infectious Diseases,6,Cluster 3,Cluster 9,0,0,0,12,9,11,51,222,7,0,0,51,20,1,2,0,0,0,Stable
louse born,Infectious Diseases,0,Cluster 1,Cluster 1,0,0,0,10,8,22,46,303,14,0,0,46,16,0,1,0,0,0,Stable
bovin,Infectious Diseases,0,Cluster 1,Cluster 2,0.3,0,0,21,21,3,72,119,2,1,0,72,3,0,0,0,0,0,Stable
influenza pig,Infectious Diseases,33,Cluster 4,Cluster 4,0,0,0,18,18,3,74,112,2,1,0,74,4,0,0,0,0,0,Stable
mononucleosi,Infectious Diseases,791,Cluster 1,Cluster 1,0,0,0,6,0,3,88,61,3,0,0,88,2,0,0,0,0,0,Transfer
neoforman,Infectious Diseases,2,Cluster 1,Cluster 2,0,0,2,49,49,6,3,387,4,2,0,3,34,1,1,0,0,2,Stable
k. pneumonia,Infectious Diseases,44,Cluster 1,Cluster 1,0,0,0,5,5,1,90,40,1,0,0,90,3,0,0,0,0,0,Stable
paragonimiasi,Infectious Diseases,80,Cluster 5,Cluster 2,0,0,0,5,5,2,88,56,1,1,0,88,4,0,0,0,0,0,Stable
sappiniadiploidea,Infectious Diseases,0,Cluster 1,Cluster 3,0,0,0,54,54,9,27,321,5,2,0,27,8,0,0,0,0,0,Stable
salmonella typhi,Infectious Diseases,4,Cluster 2,Cluster 1,0,0,0,11,11,0,79,78,0,0,0,79,8,0,0,0,0,0,Stable
canyon,Infectious Diseases,0,Cluster 1,Cluster 3,0,0,0,10,0,8,74,134,5,2,0,74,7,0,0,0,0,0,Transfer
sepsi,Infectious Diseases,0,Cluster 1,Cluster 1,0,0,0,10,10,8,74,134,5,2,0,74,7,0,0,0,0,0,Stable
mdr tb,Infectious Diseases,0,Cluster 1,Cluster 7,0,0,0,10,10,8,74,135,5,2,0,74,7,0,0,0,0,0,Stable
neisseriagonorrhoea,Infectious Diseases,0,Cluster 1,Cluster 1,1,0,0,11,10,2,82,77,1,1,0,82,4,0,0,1,0,0,Stable
leprosi,Infectious Diseases,38,Cluster 2,Cluster6,0.5,0,0,10,10,1,82,63,1,0,0,82,3,0,0,1,0,0,Stable
west nileviru,Infectious Diseases,0,Cluster 1,Cluster 1,0.7,0,0,12,10,2,82,78,1,0,0,82,3,0,0,1,0,0,Transfer
nairoviru,Infectious Diseases,8,Cluster 1,Cluster 2,0.7,0,0,12,10,2,82,76,1,0,0,82,3,0,0,1,0,0,Transfer
dog flea tapeworm,Infectious Diseases,1,Cluster 1,Cluster 1,0.8,0,0,10,10,3,82,83,2,1,0,82,3,0,0,1,0,0,Death
papillomaviru,Infectious Diseases,0,Cluster 2,Cluster 1,0,0,1,52,0,0,5,354,0,0,0,5,36,0,2,0,0,1,Stable
ciguatera,Infectious Diseases,5,Cluster 3,Cluster 2,0,0,2,52,52,1,4,358,0,0,0,4,35,1,1,0,0,2,Transfer
necrotizing fasci,Infectious Diseases,237,Cluster 1,Cluster 3,0,0,2,52,52,1,4,358,0,0,0,4,35,1,1,0,0,2,Stable
lbrf,Infectious Diseases,39,Cluster 1,Cluster 4,0,0,2,52,52,1,3,362,0,0,0,3,36,1,1,0,0,2,Stable
norwalk-lik,Infectious Diseases,221,Cluster 1,Cluster 5,0,0,2,52,52,1,3,362,0,0,0,3,36,1,1,0,0,2,Stable
group a strep,Infectious Diseases,0,Cluster 1,Cluster 6,0,0,1,38,38,27,2,496,17,8,1,2,26,1,0,0,0,1,Stable
toxocara,Infectious Diseases,790,Cluster 2,Cluster 7,0,0,1,38,38,27,2,496,17,8,1,2,26,1,0,0,0,1,Stable
histolytica,Infectious Diseases,17,Cluster 1,Cluster 8,0,0,0,5,0,3,88,63,1,2,1,88,3,0,0,0,0,0,Transfer
treponema,Infectious Diseases,0,Cluster 1,Cluster 9,0,0,0,5,5,3,88,63,3,0,0,88,3,0,0,0,0,0,Stable
anisaki,Infectious Diseases,1,Cluster 1,Cluster 1,0,0,0,5,5,1,90,42,1,0,0,90,3,0,0,0,0,0,Stable
coronaviru,Infectious Diseases,0,Cluster 3,Cluster 2,0,0,0,5,5,0,91,35,0,0,0,91,3,0,0,0,0,0,Stable
cercarial dermat,Infectious Diseases,0,Cluster 1,Cluster 4,0,0,0,4,4,4,87,69,3,1,0,87,4,0,0,0,0,0,Stable
swine influenza,Infectious Diseases,0,Cluster 1,Cluster 1,0,0,0,7,7,4,88,70,2,2,0,88,1,0,0,0,0,0,Stable
nocardiosi,Infectious Diseases,0,Cluster 4,Cluster 2,0,0,0,5,5,2,90,46,0,0,1,90,2,0,0,0,0,0,Transfer
crimean-congohemorrhag,Infectious Diseases,0,Cluster 1,Cluster 1,0,0,0,5,0,7,83,97,5,2,0,83,4,0,0,0,0,0,Stable
